#	number
#	pound
(F)	final
LATSP	long-acting thyroid stimulator protector
LAUP	laser assistant uvuloplasty
LAV	lymphadenopathy associated virus
LAVA	laser-assisted vasal anastomosis
LAVH	laparoscopically assisted vaginal hysterectomy
LAW	left atrial wall
LAX	laxative(medication order)
LB	leiomyoblastoma
LB	libra(Lat.)
LB	live birth
LB	loose body
LB	lung biopsy
LB	lymphoid body
LB	large bowel
LB	lateral bending
LB	left bundle
LB	left buttock(injection site)
LBB	left breast biopsy
LBBB	left bundle branch block(ECG)
LBCD	left border cardiac dullness
LBD	left border, dullness (of heart to percussion)
LBE	long below elbow
LBF	Lactobacillus bulgaricus factor
LBH	length, breadth, and height
LBI	librium
LBI	low serum-bound iron
LBM	lean body mass
LBM	loose bowel movement
LBM	lung basement membrane
LBNP	lower-body negative pressure
LBO	large bowel obstruction
LBP	low back pain
LBP	low blood pressure
LBT	low back tenderness
LBV	left brachial vein
LBW	lean body weight
LBW	low birth weight
LBWI	low birth weight infant
LC	left circumflex
LC	leisure counseling
LC	lethal concentration
LC	lipid cytosomes
LC	liquid chromatography
LC	liver cirrhosis
LC	living children
LC	low calorie
LC=Varix	liver cirrhosis with varix
LCA	Laber's congenital amaurosis
LCA	left circumflex artery
LCA	left coronary artery
LCA	leukocyte common antigen
LCA	light contact assist
LCB	left costal border
LCBF	local cerebral blood flow
LCC	lactose coliform count
LCC	left coronary cusp
LCC	liver cell carcinoma
LCC	luxation coxae congenita(Lat.)
LCCA	left common carotid artery
LCCA	leukocytoclastic angitis
LCCS	low cervical cesarean section
LCD	coal tar solution(liquor carbonis detergens)
LCD	localized collagen dystrophy
LCD	low calcium diet
LCE	left carotid endarterectomy
LCF	left circumflex(coronary artery)
LCF	lipemia clearing factor
LCFA	long-chain fatty acid
LCFM	left circumflex marginal
LCGU	local cerebral glucose utilization
LCIS	lobular carcinoma in situ
LCL	large cell lymphoma
LCL	lateral collateral ligament
LCL	lymphocytic leukemia
LCL	lymphocytic lymphosarcoma
LCLC	large cell lung carcinoma
LCM	left costal margin
LCM	lymphatic choriomeningitis
LCM	lymphocytic choriomeningitis
LCMV	lymphocytic choriomeningitis virus
LCNK	large cell non-keratinizing
LCP	legg-Calv'e-Perthes disease
LCP	long-chain polysaturated(fatty acid)
LCPD	Legg-Calve-Perthes disease
LCR	late cortical response
LCR	late cutaneous reaction
LCR	leurocristine
LCS	Leydig cell stimulation
LCS	lichen chronicus simplex
LCS	liquor cerebrospinalis
LCS	low constant suction
LCS	low continuous suction
LCT	liquid crystal thermogram
LCT	long chain triglyceride
LCT	low cervical transverse
LCT	lymphocyte cytotoxic test
LCTD	low-calcium test diet
LCV	leucovorin
LCV	low cervical vertical
LCWS	low continuous wall suction
LCX	left circumflex coronary artery
LD	labyrinthine defect
LD	lactic dehydrogenase(formerly LDH)
LD	last delivery
LD	last dose
LD	learning disablity
LD	learning disorder
LD	left deltoid(injection site)
LD	Legionnaire's disease
LD	lethal dose
LD	levodopa
LD	Licensed Dietian
LD	light difference(eye examination)
LD	linguodistal
LD	liver disease
LD	living donor
LD	loading dose
LD	longitudinal diameter
LD	low density
LDA	left descending artery
LDA	left dorsoanterior
LDA	left dorsoanterior position of fetus in uterus
LDA	linear displacement analysis
LDB	Legionnaires' disease bacterium
LDCOC	low-dose combination oral contraceptive
LDD	light-dark discrimination(eye examination)
LDDS	local dentist
LDEA	left deviation of electrical axis
LDH	lacticacid dehydrogenase(laboratory/chemistry)
LDIH	left direct inguinal hernia
LDL	low-density lipoprotein(laboratory/chemistry)
LDLC	low-density lipoprotein cholesterol
LDLP	low-density lipoprotein
LDP	left dorso posterior of fetus in uterus
LDR	labor, delivery and recovery
LDR/P	labor, delivery and recovery and postpartum
LDT	left dorsotransverse
LDUB	long double upright brace
LDV	lactic dehydrogenase virus
LDV	laser Doppler velocimetry
LE	left ear
LE	left eye
LE	lens extraction
LE	leukocyte esterase
LE	leukoerythrogenetic
LE	live embryo
LE	lower extremity
LE	lupus erythematosus
LE cell	lupus erythematosus cell
LE cell 	lupus erythematosus cell test
LE prep	lupus erythematosus preparation(laboratory/hematology)
LE profu	lupus erythematosus profundus
LEA	lower extremity amputation
LEA	lumbar epidural anesthesia
LED	lupus erythematosus disseminatus(laboratory/hematology)
LEEP	loop electrosurgical excision procedure
LEHPZ	lower esophageal high pressure zone
LEJ	ligation of the esophagogastric junction
LEM	lateral eye movements
LEM	light electron microscope
LEN	lactoferrin
LEOPARD	lentigines (multiple), electrocardiographic conduction abnormalities, ocular hypertelorism, pulmonary stenosis, abnormal genitalia, retardation of growth, and sensorineural deafness(syndrome)
LEP	leptospirosis
LEP	lower esophageal pressure
LES	local excitatory state
LES	lower esophageal sphincter
LES	lupus erythematosus systemic
LESP	lower esophageal sphincter pressure
LET	language enrichment therapy
LET	linear energy transfer
LETS	large, external transformation sensitive(fibronectin)
LF	labile factor
LF	laryngofissure
LF	Lassa fever
LF	latex fixation(test) (laboratory/serology)
LF	lavage fluid
LF	leaflet
LF	left foot
LF	leucine flux
LF	limit of flocculation
LF	low fat
LF	low forceps(delivery)
LF	low frequency
LFA	lymphocyte function antigen
LFA	lymphocyte function associated(glycoprotein)
LFA	left femoral artery
LFA	left forearm
LFA	left fronto-anterior(fetal position)
LFA	low friction arthroplasty
LFC	living female child
LFC	low fat and cholesterol(diet)
LFD	lactose-free diet (diet order)
LFD	late fetal death
LFD	lateral facial dysplasia
LFD	least fatal dose
LFD	low fat diet(diet order)
LFD	low fiber diet
LFD	low forceps delivery
LFDI	large for date infant
LFL	left frontolateral
LFP	left frontoposterior(fetal position)
LFS	liver function series(laboratory/chemistry)
LFT	latex flocculation test(laboratory/serology)
LFT	left fronto-transverse(fetal position)
LFT	liver function test
LFTc/s	lower flap transverse cesarean section
LG	large
LG	larnygectomy
LG	left gluteus(injection site)
LG	linguogingival
LG	lymph glands
LG	lymphography
LGA	large for gestational age
LGA	left gastric artery
LGB	Landry-Guillain-Barr?(syndrome)
LGI	lower gastrointestinal(series)
LGL	Lown-Ganong-Levine(syndrome)
LGM	left gluteus medius
LGN	lateral geniculate nucleus
LGN	lobular glomerulonephritis
LGS	large green soft(stool)
LGS	Lennox-Gastaut syndrome
LGV	lymphogranuloma venereum
LH	left hand
LH	left hyperphoria
LH	luteinizing hormone
LH/FSH-R	luteinizing hormone/follicle-stimulating hormone-releasing factor
LHA	lateral hypothalamic area
LHA	left hepatic artery
LHBV	left heart blood volume
LHC	left heart catheterization
LHC	left hypochondrium
LHCG	luteinizing hormone-chorionic gonadotropin(hormone)
LHF	left heart failure
LHG	left hand grip
LHH	left homonymous hemianopsia
LHL	left hemisphere lesions
LHL	left hepatic lobe
LHON	Leber's hereditary optic neuropathy
LHP	left hemiparesis
LHP	left hemiplegia
LHR	leukocyte histamine release
LHRF	luteinizing hormone releasing factor
LHRH	luteinizing hormone-releasing hormone
LHRT	leukocyte histamine release test
LHS	left hand side
LHS	left heart strain
LHT	left hypertropia
LHV	lymphotropic human herpes virus
LI	lactose intolerance
LI	lamellar ichthyosis
LI	large intestine
LI	learning impaired
LI	Leptospirosis icterohemorrhagica
LI	linguoincisal
LIA	left iliac artery
LIA	leukemia-associated inhibitory activity
LIAFI	late infantile amaurotic familial idiocy
LIBC	latent iron-binding capacity
LIC	left internal carotid
LIC	left iliac crest
LICA	left internal carotid artery
LICD	lower intestinal Crohn's disease
LICM	left intercostal margin
LICS	left intercostal space
LIF	left iliac fossa
LIF	left index finger
LIF	leukocyte inhibitory factor
LIG	ligament
LIH	left inguinal hernia
LIHA	low impulsiveness, high anxiety
LIJ	left internal jugular(catheter, vein)
LILA	low impulsiveness, low anxiety
LIMA	left internal mammary artery(graft)
LINAC	linear accelerator
LING	lingual
LIO	left inferior oblique
LIP	lithium-induced polydipsia
LIP	lymphocytic interstitial pneumonia
LIPV	left inferior pulmonary vein
LIQ	liquid=liquir=a liquid solution
LIQ	lower inner quadrant
LIR	left iliac region
LIR	left inferior rectus
LIS	laboratory information system
LIS	left intercostal space
LIS	lobular in situ
LIS	low intermittent suction
LITH	lithotomy
LIV	left innominate vein
LIVC	left inferior vena cava
LIVPRO	liver profile
LIWS	low intermittent wall suction
LJM	limited joint mobility
LK	lamellar keratoplasty
LK	left kidney
LKS	liver, kidneys, spleen
LKSB	liver, kidneys, spleen, and bladder
LKSNP	liver, kidney, and spleen not palpable
LL	large lymphocyte
LL	left lateral
LL	left leg
LL	left lower
LL	left lung
LL	lower lid
LL	lower lip
LL	lower lobe
LL	lumbar laminectomy
LL	lumbar length
LL	lymphoblastic lymphoma
LL	lymphocytic leukemia
LLA	limulus lysate assay
LLB	left lateral border
LLB	long leg brace
LLB	lower lobe bronchus
LLBCD	left lower border of cardiac dullness
LLC	laparoscopic laser cholecystectomy
LLC	liquid-liquid chromatography
LLC	long leg cast
LLD	left lateral decubitus
LLD	left length discrepancy
LLD fact	lactobacillus lactics dornor factor
LLE	left lower extremity
LLF	Laki-Lorand factor
LLF	left lateral femoral (site of injection)
LLF	left lateral flexion
LLFG	long leg fiberglass (cast)
LLL	left lower leg
LLL	left lower lid
LLL	left lower limb
LLL	left lower lobe(lung)
LLL	left lower lobectomy
LLL	left lower lung
LLLE	lower lid left eye
LLLNR	left lower lobe, no rales
LLM	localized leukocyte mobilization
LLO	Legionella-like organism
LLOD	lower lid, oculus dexter (right eye)
LLOS	lower lid, oculus sinister (left eye)
LLP	long leg plaster
LLQ	left lower quadrant (abdomen)
LLR	left lateral rectus
LLR	left lumbar region
LLRE	lower lid, right eye
LLS	lazy leukocyte syndrome
LLS	long leg splint
LLSB	left lower sternal border
LLT	left lateral thigh
LLV	lymphotic leukemia virus
LLWC	long leg walking cast
LLX	left lower extremity
LM	labiomental
LM	lactic acid mineral(medium)
LM	laryngeal muscle
LM	lateral maleolus
LM	left main
LM	legal medicine
LM	lemniscus modiallis
LM	light microscopy
LM	light minminum
LM	linguomesial
LM	longitudinal muscle
LM	lower motor(neurone)
LMA	left mento-anterior
LMA	liver cell membrane autoantibody
LMB	Lawrence-Moon-Biedl syndrome
LMC	large motile cell
LMCA	left main coronary artery
LMCA	left middle cerebral artery
LMCAT	left middle cerebral artery thrombosis
LMCL	left midclavicular line
LMD	local medical doctor
LMD	low molecular-weight dextran(intravenous solution)
LMDF	lupus miliaris disseminatus faciei
LME	left mediolateral episiotomy
LMEE	left middle ear exploration
LMF	left middle finger
LMF	lymphocyte mitogenic factor
LMG	lethal midline granuloma
LML	left medial lateral
LML	left mentolateral
LML	left middle lobe
LMLE	left mediolateral episiotomy(operation/obstetrics)
LMM	lentigo malignant melanoma
LMN	lower motor neuron
LMP	last menstrual period
LMP	left mentoposterior(fetal position)
LMP	lumbar puncture
LMR	left medial rectus(eye muscle)
LMR	localized magnetic resonance
LMS	laryngomicrosurgery
LMS	lateral medullary syndrome
LMT	left main trunk
LMT	left mentotransverse(fetal position)
LMW	low molecular weight
LMWD	low molecular weight dextran
LMWH	low molecular weight heparin
LN	labionasal
LN	left nostril(nare)
LN	Lesch-Nyhan(syndrome)
LN	lipoid nephrosis
LN	lobular neoplasia
LN	lupus nephritis
LN	liquid nitrogen
LN	lymph nodes
LN(or L/	lymph node biopsy
LNC	lymph node cells
LND	light-near dissociation
LND	lymph node dissection
LNG	levonorgestrel
LNMP	last normal menstrual period
LNPF	lymph node permeability factor
LNa	low sodium
LO	lateral oblique(x-ray view)
LO	linguo-occlusal
LO	lumbar orthosis
LOA	leave of absence
LOA	left occiput anterior(fetal position)
LOA	lysis of adhesions
LOC	level of care
LOC	local
LOC	location
LOC	loss of consciousness
LOCS	lens opacities classification system
LOD	line of duty
LOIH	left oblique inguinal hernia
LOL	left occipitolateral(position of fetus)
LOM	left otitis media
LOM	limitation of motion
LOM	loss of motion
LOM	low-osmolar(contrast) media
LOMSA	left otitis media, suppurative, acute
LOMSC	left otitis media, suppurative, chronic
LOP	leave on pass
LOP	left occiput posterior(fetal position)
LOPP	chlorambucil, vincristine(oncovin), procarbazince, prednisone
LOQ	lower outer quadrant
LOS	length of stay
LOS	low output syndrome
LOT	left occiput transverse(position of fetus)
LOV	loss of vision
LOWBI	low birth weight infant
LOz	lozenge
LP	latent period
LP	left parietal
LP	lichen planus
LP	light perception(eye examination)
LP	lipoprotein
LP	low power(microscopy)
LP	low pressure
LP	low protein(diet order)
LP	lumbar puncture(procedure/neurology)
LP	lumbo-peritoneal(shunt)
LP	lymphoid plasma
LP disea	leg perthes disease
LP&P	light perception and projection
LPA	latex particle agglutination
LPA	left pulmonary artery
LPC	laser photocoagulation
LPC	late positive component
LPC	lysophosphatidylcholine
LPCT	late proximal cortical tubule
LPD	luteal phase defect
LPD	leiomyomatosis peritonealis disseminata
LPD	low protein diet
LPE	lipoprotein electrophoresis(laboratory/chemistry)
LPF	leukocytosis-promoting factor
LPF	lipopolysaccharide factor
LPF	liver plasma flow
LPF	localized plague formation
LPF	low power field(microscopy)
LPF	lymphocytosis-promoting factor
LPFB	left posterior fascicular block
LPG	liquefied propane gas
LPG	low pressure glaucoma
LPH	left posterior hemiblock(ECG)
LPH	lipotropic hormone
LPHB	left posterior hemiblock
LPI	laser peripheral iridectomy
LPL	lipoprotein lipase
LPLND	laparoscopic pelvic lymph node dissection
LPO	left posterior oblique
LPO	light perception only(eye examination)
LPPC	leukocyte-poor packed cells
LPS	last Pap smear
LPS	levator palpebrae superioris(muscle)
LPS	lipase
LPS	lipopolysaccharide
LPV	left pulmonary veins
LQ	lower quadrant
LQTS	long QT syndrome
LR	laboratory references
LR	labor room
LR	lactated Ringer's (injection)
LR	lateral rectus(muscle)
LR	lowrencium(Lr)
LR	left-right
LR	lid reflex
LR	light resistant
LR	lower respiratory tract
LRA	left radial artery
LRD	living related donor
LRD	living renal donor
LRD	local regional disease
LRE	least restrictive environment
LRE	leukemic reticuloendotheliosis
LREH	low renin essential hypertension
LRF	left rectus femoris
LRF	luteninizing hormone releasing factor
LRH	luteninizing hormone releasing hormone
LRI	lower respiratory infection
LRIA	labor room IA
LRM	left radical mastectomy
LRMP	last regular menstrual period
LRND	left radical neck dissection
LROP	lower radicular obstetrical paralysis
LRP	lichen ruber planus
LRPP	laser resection of palatoplasty
LRQ	lower right quadrant
LRS	lactated Ringer's solution(intravenous solution)
LRT	lower respiratory tract
LRTI	lower respiratory tract infection
LRV	left renal vein
LRZ	lorazepam
LS	left side
LS	legally separated
LS	liver scan
LS	liver-spleen
LS	low salt
LS	lumbar spine
LS	lumbosacral
LS	lymphosarcoma
LS BPS	laparoscopic bilateral partial salpingectomy
LSA	left sacrum anterior(fetal position)
LSA	lichen sclerosis at atrophicans
LSA	lipid-bound sialic acid
LSA	lymphosarcoma
LSA/RCS	lymphosarcoma-reticulum cell sarcoma
LSB	left sternal border
LSB	lumbar spinal block
LSB	lumbar sympathetic block
LSC	late systolic click
LSC	lichen simplex chronicus
LSC	liquid-solid chromatography
LSCP	left scapuloposterior(fetal position)
LSCS	lower segment cesarean section
LSD	letterer-siwe disease
LSD	low salt diet
LSD	lumpy skin diseases virus
LSD	lysergic acid diethylamide
LSE	local side effects
LSF	low saturated fat
LSF	lymphocytosis stimulating factor
LSFA	low saturated fatty acid (diet)
LSGB	lumbosympathetic ganglion block
LSH	lutein-stimulating hormone
LSH	lymphocyte-stimulating hormone
LSK	liver, spleen, kidney
LSKM	liver-spleen-kidney-megalgia
LSL	left sacrolateral (position of fetus)
LSL	left short leg(brace)
LSM	late systolic murmur
LSO	left salpingo-oophorectomy(operation/gynecology)
LSO	left superior oblique
LSO	lumbosacral orthosis
LSP	left sacrum posterior(fetal position)
LSP	liver-specific(membrane) protein
LSR	left superior rectus
LSS	life-saving station
LSS	liver-spleen scan
LST	left sacrum transverse(fetal position)
LSTC	laparoscopic tubal coagulation
LSTL	laparoscopic tubal ligation
LSU	life support unit
LSV	left subclavian vein
LSVC	left superior vena cava
LT	left temporal
LT	left thigh
LT	leukorrhea test
LT	Levin tube(L-tube)(for gastrointerstinal suction)
LT	levothyroxine
LT	light touch
LT	long term
LT	low transverse
LT	lumbar traction
LT	lung transplantation
LT	lymphotoxin
LTA	laryngo-tracheal anesthesia
LTA	local tracheal anesthesia
LTB	laparoscopic tubal banding
LTB	laryngotracheo-bronchitis
LTB	leukotriene B
LTCF	long-term care facility
LTCS	low transverse cesarean section
LTD	largest tumor dimension
LTF	lymphocyte transforming factor
LTFU	long-term follow-up
LTG	long-term goal
LTGA	left transposition of great artery
LTH	lactogenic hormone
LTH	luteotrophic hormone
LTI	laparoscopic tubal ligation
LTM	long-term memory
LTOT	long-term oxygen therapy
LTP	laser trabeculoplasty
LTP	long-term plan
LTPP	lipothiamide pyrophosphate
LTR	long terminal repeat(unit)
LTS	laparoscopic tubal ligation sterilization
LTT	lactose tolerance test
LTT	lymphocyte transformation test
LTUI	low transverse uterine incision
LTV	long term variablity
LTVC	long-term venous catheter
LU	left upper
LU	left ureteral
LU	living unit
LU	Lutheran
LUA	left upper arm
LUD	left uterine displacement
LUE	left upper extremity
LUL	left upper lid
LUL	left upper lobe(lung)
LUNA	laparoscopic uterine nerve ablation
LUOB	left upper outer buttock
LUOQ	left upper outer quadrant
LUQ	left upper quadrant
LURD	living unrelated donor
LUS	lower uterine segment
LUSB	left upper sternal border
LUX	left upper extremity
LV	laryngeal vestibule
LV	lateral ventricle(brain)
LV	left ventricle
LV	leucovorin
LV	leukemia virus
LV	lumbar vertebra
LV	lung volume
LVA	left ventricular aneurysm
LVAD	left ventricular assist device
LVAT	left ventricular activation time
LVB	lomustine, vindesine, and bleomycin sulfate
LVD	left ventricular dysfunction
LVDP	left ventricular diastolic pressure
LVDV	left ventricular diastolic volume
LVE	left ventricular ejection
LVE	left ventricular enlargement
LVEDP	left ventricular end-diastolic pressure
LVEDV	left ventricular end-diastolic volume
LVEF	left ventricular ejection fraction
LVEP	left ventricular end-diastolic pressure
LVESVI	left ventricular end systolic volume index
LVET	left ventricular ejection time
LVF	left ventricular failure
LVFP	left ventricular filling pressure
LVG	left ventrogluteal
LVH	large vessel hematocrit
LVH	left ventricular hypertrophy
LVIDd	left ventricular internal dimension diastole
LVIDs	left ventricular internal dimension systole
LVL	left vastus lateralis(muscle)
LVM	left ventricular mass
LVMM	left ventricular muscle mass
LVN	Licensed Visiting Nurse
LVN	Licensed Vocational Nurse
LVOT	left ventricular outflow tract
LVP	large volume parenteral
LVP	left ventricular pressure
LVPW	left ventricular posterior wall
LVR	leucovorin
LVS	left ventricular strain
LVSEMI	left ventricular subendocardial myocardial ischemia
LVSP	left ventricular systolic pressure
LVSV	left ventricular stroke voulume
LVSW	left ventricular stroke work
LVSWI	left ventricular stroke work index
LVV	left ventricular volume
LVV	live varicella vaccine
LVW	left ventricular wall
LVW	left ventricular work
LVWI	left ventricular work index
LVWMA	left ventricular wall motion abnormality
LVWMI	left ventricular wall motion index
LW	living will
LWP	large whirlpool
LWP	lateral wall pressure
LXC	laxative of choice
LXT	left exotropia
LYG	lymphomatoid granulomatosis
LYS	large yellow soft(stools) lysine
LZP	lorazepam
Lab	laboratory(Lab)
Lab	leukocyte ascorbic acid
Lac	lactate
Lac	lactation
Li	lithium
Li CO	lithum carbonate
Lido	lidocaine
Lues 1	primary syphilis
Lx	luxation
LxCa	larynx cancer
LxPolyp	larynx polyp
M	male
M	marital
M	married
M	mass
M	maternal
M	mature
M	maximal
M	mean
M	medial
M	memory
M	meta
M	meter(m)
M	microsporum (on bacteriology reports)
M	mild
M	million
M	minim(1/60 of a dram, or one drop)(medication orders/prescriptions)
M	minimum
M	mix(prescriptions)
M	molar
M	Monday
M	monocyte(on white blood counts)
M	month
M	mother
M	mouth
M	muscle
M	mycobacterium(on bacteriology reporst)
M	myopia(eye examination)
M + Am	compound myopic astigmatism
M + Am	myopic astigmatism
M globul	multiple myeloma globulin
M tuberc	Myocobacterium tuberculosis
M&F	male and female
M&M	milk and molasses
M&M enem	milk and molasses enema(procedure/enema)
M&R	measure and record
M&R I&O	measure and record intake and output (fluids)
M&S	microculture and sensitivity
M&T	mastoidectomy & tympanoplasty
M&T	Monilia and Trichomonas
M&T	myringotomy and tubes (insertion)
M+As	myopic astigmatism
M-2	vincristine, carmustine, cyclophosphamide, melphalan, and prednisone
M-BACOD	methotrexate, bleomycin, Adriamycin, cyclophosphamide, Oncovin, dexamethasone and leucovorin calcium
M-CSF	macrophage colony-stimulating factor
M-GXT	multi-stage graded exercise test
M-VAC	methotrexate, vinblastine, Adriamycin, and cisplatin
M-W	Mallory-Weiss syndrome
M/A	mood and / or affect
M/E	myeloid to erythroid ratio(laboratory/hematology)
M/L	monocyte to lymphocyte(ratio)
M/L	mother-in-law
M/L rati	monocyte-lymphocyte ratio(laboratory/hematology)
M/T	masses of tenderness
M/T	maximal therapy
M/W	microwave
M/hct	microhematocrit(laboratory/hematology)
M1	left mastoid
M1 to M7	categories of acute nonlymphoblastic leukemia
M2	mitral second heart sound
M2	right mastoid
MA	machine
MA	malabsorption(syndrome)
MA	mean arterial(blood pressure)
MA	medical assistance
MA	medical authorization
MA	menstrual age
MA	mental age
MA	meter angle
MA	microaneurysms
MA	milliampere arteritis
MA	monoclonal antibodies
MA	motor aphasia
MA	motorcycle accident
MAA	macroaggregates of albumin
MAA	myometrial arcuate arteritis
MABOP	Mustargen(nitrogen mustard), Adriamycin, bleomycin, Oncovin and prednisone
MABP	mean arterial blood pressure
MAC	maximal allowable concentration
MAC	membrane attack complex
MAC	methotrexate, actinomycin D, chlorambucil
MAC	minimum alveolar concentration
MAC	mitral anulus calcification
MAC	monitored anesthesia care
MAC	Mycobacterium avium complex
MAC	macrocytic erythorcytes
MAC	macula
MACINH	membrane attack complex inhibitor
MACRO	macrocytes
MAD	maximal acid output
MAD	maximum acceptable daily intake
MAF	macrophage activating factor
MAFH	macroaggregated ferrous hydroxide
MAHA	macroangiopathic hemolytic anemia
MAI	maximal aggregation index
MAI	minor acute illness
MAI	Mycobacterium avium-intracellulare
MAKA	major karyotypic abnormalities
MAL	malignant
MALT	mucosa-associated lymphoid tissue
MALToma	mucosa associated lymphoid tissue lymphoma
MAM	methylazomethanol
MAM	monitored administration of medication
MAN	malignancy associated neutropenia
MANOVA	multivariate analysis of variance
MAO	maximum acid output
MAO	monoamine oxidase
MAOC	monoamine oxidase and cisplatin
MAOI	monoamine oxidase inhibitor
MAP	mean airway pressure
MAP	mean aortic pressure
MAP	mean arterial pressure
MAP	megaloblastic amemia of pregnancy
MAP	minimum audible pressure
MAP	muscle action potential(procedure/physical medicine)
MAP	megaloblastic anemia of pregnancy
MAR	medication administration record
MARE	manual active-resistive exercise
MARSA	methicillin aminoglycoside resistant staphylococcus aureus
MAS	malabsorption syndrome
MAS	meconium aspiration syndrome
MASER	microwave amplification by stimulated emission of radiation(radiation therapy)
MAST	mastectomy
MAST	military antishock trousers
MAT	maternal
MAT	maternity
MAT	mature
MAT	medication administration team
MAT	motor age test
MAT	multifocal atrial tachycardia
MAU	microalbuminuria
MAVR	mitral and aortic valve replacement
MAggF	macrophage agglutination factor
MB	buccal margin
MB	Mallory body
MB	mesiobuccal
MB	methylene blue(dye)
MB	microbiological assay
MB	muscle band
MB-CK	creatinine kinase isoenzyme
MBA	methyl bovine albumin
MBAS	methylene blue active substance
MBC	maximum bladder capacity
MBC	maximum breathing capacity(pulmonary function test)
MBC	methotreaxate, bleomycin, and cisplatin
MBC	minimal bactericidal concentration
MBD	methylene blue dye
MBD	minimal brain damage
MBD	minimal brain dysfunction
MBD	Morguio-Brailsford desease
MBE	medium below elbow
MBF	meat base formula
MBF	myocardial blood flow
MBFC	medial brachial fascial compartment
MBI	methylene blue instillation
MBK	methyl butyl ketone
MBL	menstrual blood loss
MBL	minimal bactericidal level
MBM	mother's breast milk
MBNW	multiple-breast nitrogen washout
MBO	mesiobuccal occulsion
MBP	malignant brachial plexopathy
MBP	mean blood pressure
MBP	mesiobuccopulpal
MBP	myelin basic protein
MBP	major basic protein
MBS	modified barium swallow
MBSA	methylated bovine serum albumin
MBT	maternal blood type
MBVP	maximum bladder voluntary pressure
MC	male child
MC	mast cell(on blood smear)
MC	metacarpal(joint)
MC	metacarpal amputation
MC	metatarso-cuneiform
MC	millicurie(mci)
MC	mineralocorticoid
MC	mitomycin-C
MC	mitoxantrone and cytarabine
MC	mixed cellularity
MC	molluscum contagiosum
MC	monocomponent highly purified insulin
MC	mouth care
MC	myocarditis
MCA	megestrol, cyclophosphamide, and Adriamycin
MCA	middle cerebral artery
MCA	monoclonal antibodies
MCA	motorcycle accident
MCA	multichannel analyzer
MCB	membranous cytoplasmic bodies
MCBR	minimum concentration of bilirubin
MCC	mean corpuscular hemoglobin concertration(laboratory/hematolohy)
MCC	metacarpal-carpal(joint)
MCC	metastatic cord compression
MCC	mucocutaneous candidiasis
MCCU	mobile coronary care unit
MCD	mean corpuscular diameter
MCD	mean of consecutive differences
MCD	medullary cystic disease
MCDT	mast cell degranulation test
MCF	African malignant catarrhal fever
MCF	macrophage chemotactic factor
MCF	mitoxantrone, cyclophosphamide, fluorouracil
MCFA	medium-chain fatty acid
MCG	magnetocardiography
MCGN	minimal-change glomerular nephritis
MCH	maternal and child Health
MCH	mean corpuscular hemoglobin(laboratory/hematology)
MCH	microfibrillar collagen hemostat
MCH	muscle contraction headache
MCHC	mean corpuscular hemoglobin concentration(laboratoryheamtology)
MCHg	mean corpuscular hemoglobin
MCI	mean cardiac index
MCL	medial collateral ligament
MCL	midclavicular line
MCL	midcostal line
MCL	modifed chest lead(ECG)
MCLNS	mucocutaneous lymph node syndrome
MCLS	mucocutaneous lymph node syndrome
MCNS	minimal change nephrotic syndrome
MCO	muco-cutaneous ocular(syndrome)
MCP	monocellular protein
MCP	metacarpal phalangeal(joint)
MCPN	metacarpal-phalangeal
MCR	metabolic clearance rate
MCR	myocardial revascularization
MCR	metabolic clearance rate
MCS	microculture and sensitivity
MCSA	minimal cross-sectional area
MCT	manual cervical traction
MCT	mean cell threshold
MCT	mean circulation time
MCT	mean corpuscular thickness(laboratory/hematology)
MCT	medullary carcinoma of the thyroid
MCTD	mixed connective tissue disease
MCU	maximum care unit
MCU	micturiting cystourethrogram
MCV	mean clinical value
MCV	mean corpuscular volume(laboratory/hematology)
MCV	motor nerve conduction velocity
MD	maintenance dialysis
MD	maintenance dose
MD	major depression
MD	malic dehydrogenase
MD	mammary dysplasia
MD	manic depression(psychiatry)
MD	mantoux diameter
MD	marek's disease
MD	mean deviation
MD	medical doctor
MD	mental deficiency
MD	minimum dosage
MD	mitral disease(cardiology)
MD	moderatly developed
MD	movement disorder(neurology)
MD	multiple dose
MD	muscular dystrophy
MD	myocardial damage
MD	myocardial disease(cardiology)
MDA	malondialdehyde
MDA	manual dilation of the anus
MDA	right mentoanterior(fetal position)[L. mento-dextra anterior]
MDC	minimum detectable concentration
MDC	maximal diffusing capacity
MDD	major depressive disorder
MDD	manic depressive disorder
MDD	mean daily dose
MDE	major depressive episode
MDF	mean dominant frequency
MDF	myocardial depressant factor
MDH	malic dehydrogenase
MDH	minimum deviation hepatoma
MDI	manic depressive illness
MDM	mid-diastolic murmur
MDM	minor determinant mixture (of penicillin)
MDP	manic depressive psychosis
MDP	right mentoposterior (fetal position)
MDPI	maximum daily permissible intake
MDR	minimum daily requirement
MDR	multi-drug resistance
MDRT	maddox double rod test
MDS	maternal deprivation syndrome
MDS	myelodysplastic syndrome
MDT	median detection threshold
MDT	mentodextra transversa(right mentotransverse)
MDT	right mentotransverse (fetal position)
MDTM	multidisciplinary team meeting
MDTP	multidisciplinary treatment plan
MDTR	mean diameter-thickness ratio
MDUO	myocardial disease of unknown origin
MDY	month, date, year
ME	macula edema
ME	manic episode
ME	medical events
ME	medical examiner
ME	metrazol
ME	middle ear
ME	myalgic encephalomyelitis
